Group.1,Vol
1,917.056465922547
2,1048.78842127612
3,897.54062068498
4,1289.48384587278
5,1289.48384587278
6,1289.48384587278
7,1289.48384587278
8,1289.48384587278
9,1289.48384587278
10,1289.48384587278
11,1289.48384587278
12,1289.48384587278
13,1292.67276927598
14,1291.21135053178
15,1292.79488207259
16,1287.16888362415
17,NA
18,1298.74884403871
19,1292.97148331349
20,1620.05137018163
21,1373.25621138485
22,NA
23,NA
24,1291.08185947359
25,1377.49234133076
26,1456.69881835542
27,1301.2559857028
28,1256.64257725017
29,1313.54149327507
30,1393.35812132726
31,NA
32,1322.92011837839
33,1267.3064358206
34,1295.45390888586
35,1304.58518099432
36,1301.60647265562
37,1299.94384384305
38,1544.85287489499
39,1374.79747286124
40,1301.40431990508
41,1231.73091438793
42,1207.93388124012
43,1381.40593811792
44,1209.61538186776
45,1225.50234530533
46,1348.21535153244
47,1399.69825724039
48,1431.16027994394
49,1632.80786825243
50,1525.69404099566
51,1292.10693644581
52,1281.63205301673
53,1377.95264126063
54,1475.53915803683
55,1374.57444277704
56,1454.38653243984
57,1455.16849457635
58,1417.99369986639
59,1507.53062484794
61,1416.28566535355
62,1484.11754185591
63,1559.79337813861
64,1546.45238124696
65,1578.29785561137
66,1442.181179139
67,1407.29511559767
68,1374.02580717233
70,1471.7763928482
71,1428.10657050467
72,1490.12579950789
73,2002.28390996205
74,1998.72817037271
75,1266.11675102687
76,1309.3567888904
77,1384.03600606343
78,1247.95611602257
79,1355.86725964472
80,1271.8655603344
81,1352.64956789869
82,1262.65601656918
83,1285.33139843121
84,1304.60019301775
85,1305.63998706658
86,1341.11593318787
87,1823.65791836993
88,1343.66717404542
89,1410.0210918514
90,1382.55102333908
91,1260.76052539784
92,1048.96299065106
93,944.875661017512
94,1020.31139697131
95,1101.77797853028
96,1019.96202484426
97,NA
98,1256.05949119535
99,1101.77797853028
100,1033.98761690472
101,1201.12592229188
102,1286.44827399302
103,961.522057925671
104,1017.62442616751
