"","date","id","I","obs","Temp","Pr","a","b","Q","Vol","VolStd"
"1",2019-04-03 12:00:00,1,43,"",27.6990234375,753,36.5394,6.8964,0.976790914790404,58.6074548874242,56.5816409234086
"2",2019-04-03 13:00:00,1,40,"",27.6990234375,753,36.5394,6.8964,0.895474892967209,53.7284935780325,51.8713248481333
"3",2019-04-03 14:00:00,1,40,"",27.6990234375,753,36.5394,6.8964,0.895474892967209,53.7284935780325,51.8713248481333
"4",2019-04-03 15:00:00,1,35,"",27.6990234375,753,36.5394,6.8964,0.75994818992855,45.596891395713,44.0207980560078
"5",2019-04-03 16:00:00,1,35,"",27.6990234375,753,36.5394,6.8964,0.75994818992855,45.596891395713,44.0207980560078
"6",2019-04-03 17:00:00,1,35,"",27.6990234375,753,36.5394,6.8964,0.75994818992855,45.596891395713,44.0207980560078
"7",2019-04-03 18:00:00,1,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"8",2019-04-03 19:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"9",2019-04-03 20:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"10",2019-04-03 21:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"11",2019-04-03 22:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"12",2019-04-03 23:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"13",2019-04-04 00:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"14",2019-04-04 01:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"15",2019-04-04 02:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"16",2019-04-04 03:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"17",2019-04-04 04:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"18",2019-04-04 05:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"19",2019-04-04 06:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"20",2019-04-04 07:00:00,1,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
"21",2019-04-04 08:00:00,1,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"22",2019-04-04 09:00:00,1,35,"",27.6990234375,753,36.5394,6.8964,0.75994818992855,45.596891395713,44.0207980560078
"23",2019-04-04 10:00:00,1,40,"",27.6990234375,753,36.5394,6.8964,0.895474892967209,53.7284935780325,51.8713248481333
"24",2019-04-04 11:00:00,1,43,"",27.6990234375,753,36.5394,6.8964,0.976790914790404,58.6074548874242,56.5816409234086
"25",2019-04-06 12:00:00,2,40,"",27.6990234375,753,36.5394,6.8964,0.895474892967209,53.7284935780325,51.8713248481333
"26",2019-04-06 13:00:00,2,40,"",27.6990234375,753,36.5394,6.8964,0.895474892967209,53.7284935780325,51.8713248481333
"27",2019-04-06 14:00:00,2,40,"",27.6990234375,753,36.5394,6.8964,0.895474892967209,53.7284935780325,51.8713248481333
"28",2019-04-06 15:00:00,2,35,"",27.6990234375,753,36.5394,6.8964,0.75994818992855,45.596891395713,44.0207980560078
"29",2019-04-06 16:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"30",2019-04-06 17:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"31",2019-04-06 18:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"32",2019-04-06 19:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"33",2019-04-06 20:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"34",2019-04-06 21:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"35",2019-04-06 22:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"36",2019-04-06 23:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"37",2019-04-07 00:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"38",2019-04-07 01:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"39",2019-04-07 02:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"40",2019-04-07 03:00:00,2,30,"",27.6990234375,753,36.5394,6.8964,0.624421486889892,37.4652892133935,36.1702712638824
"41",2019-04-07 04:00:00,2,20,"",27.6990234375,753,36.5394,6.8964,0.353368080812575,21.2020848487545,20.4692176796315
"42",2019-04-07 05:00:00,2,25,"",27.6990234375,753,36.5394,6.8964,0.488894783851234,29.333687031074,28.3197444717569
