RC-5 Data Logger,,
User Information,RC-5 Data Logger,
Number,E189G04160,
Interval    ,0:15:0 H:M:S,
Delay Time,0.0 H,
Data Sum,29967,
Temperature Maximum,51.8°C,
Temperature Minimum,1.4°C,
Temperature Average,23.1°C,
Temperature Alarm Upper Limit,60.0°C,
Temperature Alarm Lower Limit,-30.0°C,
Start Time,2019-05-09 12:33:55,
End Time,2020-03-16 16:03:55,
Date Format,yyyy-MM-dd HH:mm:ss,
Temperature Unit,°C,
Number,Time,Temperature°C
1,2019-05-09 12:33:55,22.8
2,2019-05-09 12:48:55,19.2
3,2019-05-09 13:03:55,26.5
4,2019-05-09 13:18:55,28.6
5,2019-05-09 13:33:55,29.3
6,2019-05-09 13:48:55,29
7,2019-05-09 14:03:55,29.6
8,2019-05-09 14:18:55,29.4
9,2019-05-09 14:33:55,28.1
10,2019-05-09 14:48:55,28.2
11,2019-05-09 15:03:55,28.8
12,2019-05-09 15:18:55,28.8
13,2019-05-09 15:33:55,28.8
14,2019-05-09 15:48:55,27.9
15,2019-05-09 16:03:55,27
16,2019-05-09 16:18:55,27.3
17,2019-05-09 16:33:55,27.7
18,2019-05-09 16:48:55,27.8
19,2019-05-09 17:03:55,28.6
20,2019-05-09 17:18:55,28.6
21,2019-05-09 17:33:55,27.5
22,2019-05-09 17:48:55,27
23,2019-05-09 18:03:55,26.8
24,2019-05-09 18:18:55,26.6
25,2019-05-09 18:33:55,26
26,2019-05-09 18:48:55,26.7
27,2019-05-09 19:03:55,27.2
28,2019-05-09 19:18:55,27.2
29,2019-05-09 19:33:55,27.6
30,2019-05-09 19:48:55,27.4
31,2019-05-09 20:03:55,27.7
32,2019-05-09 20:18:55,27.8
33,2019-05-09 20:33:55,27.1
34,2019-05-09 20:48:55,27.7
35,2019-05-09 21:03:55,27.7
36,2019-05-09 21:18:55,27.9
37,2019-05-09 21:33:55,27.6
38,2019-05-09 21:48:55,27.6
39,2019-05-09 22:03:55,27.8
40,2019-05-09 22:18:55,27.5
41,2019-05-09 22:33:55,27.8
42,2019-05-09 22:48:55,27.7
43,2019-05-09 23:03:55,27.9
44,2019-05-09 23:18:55,27.7
45,2019-05-09 23:33:55,27.8
46,2019-05-09 23:48:55,27.7
47,2019-05-10 00:03:55,27.6
48,2019-05-10 00:18:55,27.5
49,2019-05-10 00:33:55,27.1
50,2019-05-10 00:48:55,26.8
51,2019-05-10 01:03:55,26.4
52,2019-05-10 01:18:55,26.3
53,2019-05-10 01:33:55,26.2
54,2019-05-10 01:48:55,26.1
55,2019-05-10 02:03:55,26.2
56,2019-05-10 02:18:55,26.1
57,2019-05-10 02:33:55,26.2
58,2019-05-10 02:48:55,26
59,2019-05-10 03:03:55,26.2
60,2019-05-10 03:18:55,26.3
61,2019-05-10 03:33:55,26.3
62,2019-05-10 03:48:55,26.3
63,2019-05-10 04:03:55,26.4
64,2019-05-10 04:18:55,26.4
65,2019-05-10 04:33:55,26.3
66,2019-05-10 04:48:55,26.1
67,2019-05-10 05:03:55,26.1
68,2019-05-10 05:18:55,26.2
69,2019-05-10 05:33:55,26
70,2019-05-10 05:48:55,25.9
71,2019-05-10 06:03:55,26.1
72,2019-05-10 06:18:55,25.7
73,2019-05-10 06:33:55,25.9
74,2019-05-10 06:48:55,25.5
75,2019-05-10 07:03:55,25.6
76,2019-05-10 07:18:55,25.4
77,2019-05-10 07:33:55,25.5
78,2019-05-10 07:48:55,25.4
79,2019-05-10 08:03:55,25
80,2019-05-10 08:18:55,25
81,2019-05-10 08:33:55,25.3
82,2019-05-10 08:48:55,25.4
83,2019-05-10 09:03:55,25.4
84,2019-05-10 09:18:55,25.1
85,2019-05-10 09:33:55,24.5
86,2019-05-10 09:48:55,24.5
87,2019-05-10 10:03:55,24.3
88,2019-05-10 10:18:55,24.6
89,2019-05-10 10:33:55,24.7
90,2019-05-10 10:48:55,24.2
91,2019-05-10 11:03:55,24
92,2019-05-10 11:18:55,24.7
93,2019-05-10 11:33:55,25
94,2019-05-10 11:48:55,25.3
95,2019-05-10 12:03:55,25.4
96,2019-05-10 12:18:55,24.7
97,2019-05-10 12:33:55,25.2
98,2019-05-10 12:48:55,23.1
99,2019-05-10 13:03:55,19.3
100,2019-05-10 13:18:55,18.6
101,2019-05-10 13:33:55,19.5
102,2019-05-10 13:48:55,19.3
103,2019-05-10 14:03:55,19.2
104,2019-05-10 14:18:55,19.5
105,2019-05-10 14:33:55,19.8
106,2019-05-10 14:48:55,20
107,2019-05-10 15:03:55,20.2
108,2019-05-10 15:18:55,19.9
109,2019-05-10 15:33:55,19.6
110,2019-05-10 15:48:55,19.3
111,2019-05-10 16:03:55,19.7
112,2019-05-10 16:18:55,20
113,2019-05-10 16:33:55,19.5
114,2019-05-10 16:48:55,18.8
115,2019-05-10 17:03:55,18.5
116,2019-05-10 17:18:55,18.3
117,2019-05-10 17:33:55,18.2
118,2019-05-10 17:48:55,17.7
119,2019-05-10 18:03:55,16.9
120,2019-05-10 18:18:55,16.6
121,2019-05-10 18:33:55,16.4
122,2019-05-10 18:48:55,16.2
123,2019-05-10 19:03:55,16
124,2019-05-10 19:18:55,15.8
125,2019-05-10 19:33:55,15.6
126,2019-05-10 19:48:55,15.4
127,2019-05-10 20:03:55,15.2
128,2019-05-10 20:18:55,15
129,2019-05-10 20:33:55,14.8
130,2019-05-10 20:48:55,14.7
131,2019-05-10 21:03:55,14.5
132,2019-05-10 21:18:55,14.3
133,2019-05-10 21:33:55,14.2
134,2019-05-10 21:48:55,14.1
135,2019-05-10 22:03:55,14
136,2019-05-10 22:18:55,13.9
137,2019-05-10 22:33:55,13.9
138,2019-05-10 22:48:55,13.7
139,2019-05-10 23:03:55,13.5
140,2019-05-10 23:18:55,13.4
141,2019-05-10 23:33:55,13.1
142,2019-05-10 23:48:55,12.9
143,2019-05-11 00:03:55,12.8
144,2019-05-11 00:18:55,12.7
145,2019-05-11 00:33:55,12.6
146,2019-05-11 00:48:55,12.5
147,2019-05-11 01:03:55,12.3
148,2019-05-11 01:18:55,12.2
