"","Group.1","VolStd"
"1",1,885.357669275854
"2",2,1012.53620330829
"3",3,866.516404974752
"4",4,1244.9117963552
"5",5,1244.9117963552
"6",6,1244.9117963552
"7",7,1244.9117963552
"8",8,1244.9117963552
"9",9,1244.9117963552
"10",10,1244.9117963552
"11",11,1244.9117963552
"12",12,1244.9117963552
"13",13,1253.13006362818
"14",14,1249.53993180889
"15",15,1253.47817688947
"16",16,1239.16335774057
"17",17,NA
"18",18,1268.96198990178
"19",19,1253.91765887406
"20",20,1594.85456596702
"21",21,1335.20632823527
"22",22,NA
"23",23,NA
"24",24,1249.04136784665
"25",25,1346.09375028713
"26",26,1424.60494313191
"27",27,1275.34738662918
"28",28,1223.10661987439
"29",29,1307.6013665774
"30",30,1387.94224934642
"31",31,NA
"32",32,1332.6493470071
"33",33,1250.79822977157
"34",34,1260.29936464006
"35",35,1284.04161410674
"36",36,1276.26894988031
"37",37,1271.93834538604
"38",38,1526.95354798913
"39",39,1355.21680613443
"40",40,1275.83914172376
"41",41,1230.18686235251
"42",42,1203.1554167958
"43",43,1363.70050254851
"44",44,1207.0450687723
"45",45,1244.26593497108
"46",46,1314.25635246089
"47",47,1407.15325986509
"48",48,1418.94717318807
"49",49,1582.21332574132
"50",50,1454.97758973516
"51",51,1277.70776152527
"52",52,1288.99083221876
"53",53,1355.49512436735
"54",54,1461.25052484963
"55",55,1347.79286098787
"56",56,1411.56662808866
"57",57,1413.18614066982
"58",58,1387.99827456888
"59",59,1446.22917500296
"60",61,1383.77109945131
"61",62,1439.80599037081
"62",63,1535.21840933931
"63",64,1503.670691089
"64",65,1511.16939780045
"65",66,1429.18818585439
"66",67,1357.99040711259
"67",68,1346.47124271767
"68",70,1416.22143317169
"69",71,1365.66208845191
"70",72,1435.9929310309
"71",73,1889.4841352489
"72",74,1880.68490291958
"73",75,1218.03211853448
"74",76,1257.49096029881
"75",77,1309.79516763383
"76",78,1177.44744475154
"77",79,1268.39449047008
"78",80,1230.99236507908
"79",81,1297.21424666303
"80",82,1210.18140359637
"81",83,1232.39074751642
"82",84,1256.57912403856
"83",85,1230.12261665907
"84",86,1271.37094877536
"85",87,1708.78965783794
"86",88,1276.80598893728
"87",89,1371.75206138365
"88",90,1311.14844030163
"89",91,1198.79644947381
"90",92,995.115298108036
"91",93,887.306424395909
"92",94,959.350338456224
"93",95,1070.75717581963
"94",96,991.244768408203
"95",97,NA
"96",98,1220.69485836688
"97",99,1070.75717581963
"98",100,1004.87546682159
"99",101,1167.30795624779
"100",102,1250.22803826256
"101",103,934.450191685758
"102",104,988.972985339306
"103",105,908.324686393433
"104",106,NA
"105",107,954.896239305838
"106",108,936.721974754655
"107",109,1343.37114408737
"108",110,919.683601737922
"109",111,NA
"110",112,977.614069994816
"111",113,882.199181101107
"112",114,968.526937719225
"113",115,NA
"114",116,NA
"115",117,995.788334545999
